name,count
Iron Man,1570
Captain America,1331
Loki,1061
Black Widow,1042
Hulk,947
Nick Fury,864
Thor,839
Hawkeye,587
Agent Coulson,356
Maria Hill,254
Erik Selvig,198
Pepper Potts,198
The Other,65
Jasper Sitwell,15
Stan Lee,3
