name,count
Iron Man,6235
Captain America,4719
Hulk,3699
Thor,3480
Black Widow,3213
Hawkeye,3213
Thanos,2272
Gamora,1275
Loki,1266
Scarlett Witch,1235
Nebula,1026
Nick Fury,1007
Ant Man,881
Rocket,880
Star Lord,842
Vision,789
War Machine,765
Dr. Strange,739
Ultron,618
Spider-Man,594
Pepper Potts,542
Quicksilver,512
Maria Hill,428
Drax,391
Agent Coulson,356
Falcon,345
Ebony Maw,321
Black Panther,300
Mantis,289
Groot,266
