name,count
Iron Man,1664
Captain America,1269
Hulk,1224
Black Widow,1052
Hawkeye,839
Thor,740
Scarlett Witch,667
Ultron,618
Quicksilver,612
Vision,317
Laura Barton,191
Dr.Helen Cho,178
Maria Hill,174
War Machine,151
Nick Fury,133
Klaw,128
Strucker,89
Lila Barton,40
Erik Selvig,39
Cooper Barton,36
