name,count
Iron Man,1004
Thanos,1530
Gamora,1039
Thor,796
Dr.Strange,668
Star Lord,662
Hulk,558
Vision,472
Scarlett Witch,464
Captain America,433
Spider-Man,413
Rocket,352
Drax,333
Black Widow,280
Ebony Maw,253
Mantis,246
Groot,217
Black Panther,208
Proxima Midnight,192
Cull Obsidian,183
